Name;Version;Company Name
twain_32.dll;1,7,1,3;Twain Working Group
AcRes.dll;10.0.17763.1 (WinBuild.160101.0800);Microsoft Corporation
EnvDTE.dll;8.0.50727.932 (QFE.050727-9300);Microsoft Corporation
EnvDTE80.dll;8.0.50727.932 (QFE.050727-9300);Microsoft Corporation
EnvDTE90.dll;9.0.30729.1 built by: SP;Microsoft Corporation
EnvDTE90a.dll;9.0.30729.1 built by: SP;Microsoft Corporation
Microsoft.VisualStudio.CommandBars.dll;8.0.50727.932 (QFE.050727-9300);Microsoft Corporation
Microsoft.VisualStudio.OLE.Interop.dll;7.10.6070;Microsoft Corporation
Microsoft.VisualStudio.Shell.Interop.dll;7.10.6071;Microsoft Corporation
Microsoft.VisualStudio.Shell.Interop.8.0.dll;8.0.50727.938 (QFE.050727-9300);Microsoft Corporation
Microsoft.VisualStudio.Shell.Interop.9.0.dll;9.0.30729.1 built by: SP;Microsoft Corporation
Microsoft.VisualStudio.TextManager.Interop.dll;7.10.6070;Microsoft Corporation
Microsoft.VisualStudio.TextManager.Interop.8.0.dll;8.0.50727.932 (QFE.050727-9300);Microsoft Corporation
Microsoft.VisualStudio.TextManager.Interop.9.0.dll;9.0.30729.1 built by: SP;Microsoft Corporation
Microsoft.VisualStudio.VSHelp.dll;7.00.9466;Microsoft Corporation
Microsoft.VisualStudio.VSHelp80.dll;8.0.50727.932 (QFE.050727-9300);Microsoft Corporation
stdole.dll;7.00.9466;Microsoft Corporation
VSLangProj.dll;7.00.9466;Microsoft Corporation
VSLangProj2.dll;7.10.6070;Microsoft Corporation
VSLangProj80.dll;8.0.50727.4453 (QFE.050727-4400);Microsoft Corporation
VslangProj90.dll;9.0.30729.1 built by: SP;Microsoft Corporation
VsWebSite.Interop.dll;8.0.50727.932 (QFE.050727-9300);Microsoft Corporation
Microsoft.Ink.dll;10.0.17763.194;Microsoft Corporation
Microsoft.Interop.Security.AzRoles.dll;2.0.0.0; 
Microsoft.SqlServer.BatchParser.dll;2014.0120.2000.08 ((SQL14_RTM).140220-1832 );Microsoft Corporation
srmlib.dll;10.0.17763.1 (WinBuild.160101.0800);Microsoft Corporation
Microsoft.Ink.dll;10.0.17763.194;Microsoft Corporation
Microsoft.Interop.Security.AzRoles.dll;2.0.0.0; 
Microsoft.SqlServer.BatchParser.dll;2014.0120.2000.08 ((SQL14_RTM).140220-1924 );Microsoft Corporation
srmlib.dll;10.0.17763.1 (WinBuild.160101.0800);Microsoft Corporation
EnvDTE100.dll;10.0.30319.1 built by: RTMRel;Microsoft Corporation
Microsoft.ConfigurationManager.AssetProvider.dll;5.0.8790.1000;Microsoft Corporation
Microsoft.ConfigurationManager.DefaultAppsProvider.dll;5.0.8790.1000;Microsoft Corporation
Microsoft.Ink.Resources.dll;10.0.17763.1;Microsoft Corporation
Microsoft.ManagementConsole.dll;10.0.17763.1;Microsoft Corporation
Microsoft.ManagementConsole.Resources.dll;10.0.17763.1;Microsoft Corporation
Microsoft.MSXML.dll;8.0.50727.932 (QFE.050727-9300);Microsoft Corporation
Microsoft.PowerShell.Commands.Diagnostics.dll;6.1.7600.16385;Microsoft Corporation
Microsoft.PowerShell.Commands.Diagnostics.resources.dll;6.1.7600.16385;Microsoft Corporation
Microsoft.PowerShell.Commands.Management.dll;6.1.7600.16385;Microsoft Corporation
Microsoft.PowerShell.Commands.Management.Resources.dll;6.1.7600.16385;Microsoft Corporation
Microsoft.PowerShell.Commands.Utility.dll;6.1.7600.16385;Microsoft Corporation
Microsoft.PowerShell.Commands.Utility.Resources.dll;6.1.7600.16385;Microsoft Corporation
Microsoft.PowerShell.ConsoleHost.dll;6.1.7600.16385;Microsoft Corporation
Microsoft.PowerShell.ConsoleHost.Resources.dll;6.1.7600.16385;Microsoft Corporation
Microsoft.PowerShell.Security.dll;6.1.7600.16385;Microsoft Corporation
Microsoft.PowerShell.Security.Resources.dll;6.1.7600.16385;Microsoft Corporation
Microsoft.SqlServer.BatchParserClient.dll;12.0.2000.8 ((SQL14_RTM).140220-1832 );Microsoft Corporation
Microsoft.SqlServer.ConnectionInfo.dll;12.0.2000.8 ((SQL14_RTM).140220-1752);Microsoft Corporation
Microsoft.SqlServer.ConnectionInfo.dll;13.0.14500.10 ((SSMS_Rel).160415-0249);Microsoft Corporation
Microsoft.SqlServer.ConnectionInfoExtended.dll;12.0.2000.8 ((SQL14_RTM).140220-1752);Microsoft Corporation
Microsoft.SqlServer.ConnectionInfoExtended.dll;13.0.14500.10 ((SSMS_Rel).160415-0249);Microsoft Corporation
Microsoft.SqlServer.Diagnostics.STrace.dll;12.0.2000.8 ((SQL14_RTM).140220-1752);Microsoft Corporation
Microsoft.SqlServer.Diagnostics.STrace.dll;13.0.1601.5 ((SQL16_RTM).160429-2226);Microsoft Corporation
Microsoft.SqlServer.Dmf.dll;12.0.2000.8 ((SQL14_RTM).140220-1832 );Microsoft Corporation
Microsoft.SqlServer.Dmf.dll;13.0.1601.5 ((SQL16_RTM).160429-2226);Microsoft Corporation
